id,name,rate_country_id:id
external_rate_city_Kabul_Afghanistan,Kabul,rate_card.external_rate_country_Afghanistan
external_rate_city_Kandahar_Afghanistan,Kandahar,rate_card.external_rate_country_Afghanistan
external_rate_city_Herat_Afghanistan,Herat,rate_card.external_rate_country_Afghanistan
external_rate_city_Farah_Afghanistan,Farah,rate_card.external_rate_country_Afghanistan
external_rate_city_Mazar-e_Sharif_Afghanistan,Mazar-e Sharif,rate_card.external_rate_country_Afghanistan
external_rate_city_Lashkar_Gah_Afghanistan,Lashkar Gah,rate_card.external_rate_country_Afghanistan
external_rate_city_Kunduz_Afghanistan,Kunduz,rate_card.external_rate_country_Afghanistan
external_rate_city_Taluqan_Afghanistan,Taluqan,rate_card.external_rate_country_Afghanistan
external_rate_city_Jalalabad_Afghanistan,Jalalabad,rate_card.external_rate_country_Afghanistan
external_rate_city_Shibirghan_Afghanistan,Shibirghan,rate_card.external_rate_country_Afghanistan
external_rate_city_Zaranj_Afghanistan,Zaranj,rate_card.external_rate_country_Afghanistan
external_rate_city_Khost_Afghanistan,Khost,rate_card.external_rate_country_Afghanistan
external_rate_city_Maimanah_Afghanistan,Maimanah,rate_card.external_rate_country_Afghanistan
external_rate_city_Mehtar_Lam_Afghanistan,Mehtar Lam,rate_card.external_rate_country_Afghanistan
external_rate_city_Ghazni_Afghanistan,Ghazni,rate_card.external_rate_country_Afghanistan
external_rate_city_Paghman_Afghanistan,Paghman,rate_card.external_rate_country_Afghanistan
external_rate_city_Pul-e_Khumri_Afghanistan,Pul-e Khumri,rate_card.external_rate_country_Afghanistan
external_rate_city_Bamyan_Afghanistan,Bamyan,rate_card.external_rate_country_Afghanistan
external_rate_city_Charikar_Afghanistan,Charikar,rate_card.external_rate_country_Afghanistan
external_rate_city_Balkh_Afghanistan,Balkh,rate_card.external_rate_country_Afghanistan
external_rate_city_Baghlan_Afghanistan,Baghlan,rate_card.external_rate_country_Afghanistan
external_rate_city_Tarin_Kot_Afghanistan,Tarin Kot,rate_card.external_rate_country_Afghanistan
external_rate_city_Gardez_Afghanistan,Gardez,rate_card.external_rate_country_Afghanistan
external_rate_city_Bazar-e_Yakawlang_Afghanistan,Bazar-e Yakawlang,rate_card.external_rate_country_Afghanistan
external_rate_city_Faizabad_Afghanistan,Faizabad,rate_card.external_rate_country_Afghanistan
external_rate_city_Qal`ah-ye_Now_Afghanistan,Qal`ah-ye Now,rate_card.external_rate_country_Afghanistan
external_rate_city_Ghoriyan_Afghanistan,Ghoriyan,rate_card.external_rate_country_Afghanistan
external_rate_city_Sar-e_Pul_Afghanistan,Sar-e Pul,rate_card.external_rate_country_Afghanistan
external_rate_city_Haskah_Menah_Afghanistan,Haskah Menah,rate_card.external_rate_country_Afghanistan
external_rate_city_Mahmud-e_Raqi_Afghanistan,Mahmud-e Raqi,rate_card.external_rate_country_Afghanistan
external_rate_city_Aqchah_Afghanistan,Aqchah,rate_card.external_rate_country_Afghanistan
external_rate_city_Qalat_Afghanistan,Qalat,rate_card.external_rate_country_Afghanistan
external_rate_city_Asadabad_Afghanistan,Asadabad,rate_card.external_rate_country_Afghanistan
external_rate_city_Gudarah_Afghanistan,Gudarah,rate_card.external_rate_country_Afghanistan
external_rate_city_Andkhoy_Afghanistan,Andkhoy,rate_card.external_rate_country_Afghanistan
external_rate_city_Kotah-ye_`Ashro_Afghanistan,Kotah-ye `Ashro,rate_card.external_rate_country_Afghanistan
external_rate_city_Maidan_Shahr_Afghanistan,Maidan Shahr,rate_card.external_rate_country_Afghanistan
external_rate_city_Bagrami_Afghanistan,Bagrami,rate_card.external_rate_country_Afghanistan
external_rate_city_Bala_Koh_Afghanistan,Bala Koh,rate_card.external_rate_country_Afghanistan
external_rate_city_Khulm_Afghanistan,Khulm,rate_card.external_rate_country_Afghanistan
external_rate_city_Khanabad_Afghanistan,Khanabad,rate_card.external_rate_country_Afghanistan
external_rate_city_Hukumati_Baghran_Afghanistan,Hukumati Baghran,rate_card.external_rate_country_Afghanistan
external_rate_city_Bazarak_Afghanistan,Bazarak,rate_card.external_rate_country_Afghanistan
external_rate_city_Sheghnan_Afghanistan,Sheghnan,rate_card.external_rate_country_Afghanistan
external_rate_city_Pul-e_`Alam_Afghanistan,Pul-e `Alam,rate_card.external_rate_country_Afghanistan
external_rate_city_Baraki_Barak_Afghanistan,Baraki Barak,rate_card.external_rate_country_Afghanistan
external_rate_city_Sangin_Afghanistan,Sangin,rate_card.external_rate_country_Afghanistan
external_rate_city_Qal`ah-ye_Zal_Afghanistan,Qal`ah-ye Zal,rate_card.external_rate_country_Afghanistan
external_rate_city_Karukh_Afghanistan,Karukh,rate_card.external_rate_country_Afghanistan
external_rate_city_Kushk_Afghanistan,Kushk,rate_card.external_rate_country_Afghanistan
external_rate_city_Qarqin_Afghanistan,Qarqin,rate_card.external_rate_country_Afghanistan
external_rate_city_Islam_Qal`ah_Afghanistan,Islam Qal`ah,rate_card.external_rate_country_Afghanistan
external_rate_city_Zarah_Sharan_Afghanistan,Zarah Sharan,rate_card.external_rate_country_Afghanistan
external_rate_city_Fayroz_Koh_Afghanistan,Fayroz Koh,rate_card.external_rate_country_Afghanistan
external_rate_city_Taywarah_Afghanistan,Taywarah,rate_card.external_rate_country_Afghanistan
external_rate_city_Baraki_Afghanistan,Baraki,rate_card.external_rate_country_Afghanistan
external_rate_city_Zarghun_Shahr_Afghanistan,Zarghun Shahr,rate_card.external_rate_country_Afghanistan
external_rate_city_Kuhsan_Afghanistan,Kuhsan,rate_card.external_rate_country_Afghanistan
external_rate_city_Ishkashim_Afghanistan,Ishkashim,rate_card.external_rate_country_Afghanistan
external_rate_city_Hukumati_Gizab_Afghanistan,Hukumati Gizab,rate_card.external_rate_country_Afghanistan
external_rate_city_Tujg_Afghanistan,Tujg,rate_card.external_rate_country_Afghanistan
external_rate_city_Aibak_Afghanistan,Aibak,rate_card.external_rate_country_Afghanistan
external_rate_city_Panjab_Afghanistan,Panjab,rate_card.external_rate_country_Afghanistan
external_rate_city_Imam_Sahib_Afghanistan,Imam Sahib,rate_card.external_rate_country_Afghanistan
external_rate_city_Mama_Khel_Afghanistan,Mama Khel,rate_card.external_rate_country_Afghanistan
external_rate_city_Deh-e_Shu_Afghanistan,Deh-e Shu,rate_card.external_rate_country_Afghanistan
external_rate_city_Chichkah_Afghanistan,Chichkah,rate_card.external_rate_country_Afghanistan
external_rate_city_Parun_Afghanistan,Parun,rate_card.external_rate_country_Afghanistan
external_rate_city_Sharan_Afghanistan,Sharan,rate_card.external_rate_country_Afghanistan
external_rate_city_Nili_Afghanistan,Nili,rate_card.external_rate_country_Afghanistan
external_rate_city_Tirana_Albania,Tirana,rate_card.external_rate_country_Albania
external_rate_city_Durres_Albania,Durres,rate_card.external_rate_country_Albania
external_rate_city_Vlore_Albania,Vlore,rate_card.external_rate_country_Albania
external_rate_city_Kamez_Albania,Kamez,rate_card.external_rate_country_Albania
external_rate_city_Fier_Albania,Fier,rate_card.external_rate_country_Albania
external_rate_city_Shkoder_Albania,Shkoder,rate_card.external_rate_country_Albania
external_rate_city_Elbasan_Albania,Elbasan,rate_card.external_rate_country_Albania
external_rate_city_Korce_Albania,Korce,rate_card.external_rate_country_Albania
external_rate_city_Sarande_Albania,Sarande,rate_card.external_rate_country_Albania
external_rate_city_Berat_Albania,Berat,rate_card.external_rate_country_Albania
external_rate_city_Lushnje_Albania,Lushnje,rate_card.external_rate_country_Albania
external_rate_city_Kavaje_Albania,Kavaje,rate_card.external_rate_country_Albania
external_rate_city_Gjirokaster_Albania,Gjirokaster,rate_card.external_rate_country_Albania
external_rate_city_Pogradec_Albania,Pogradec,rate_card.external_rate_country_Albania
external_rate_city_Fushe-Kruje_Albania,Fushe-Kruje,rate_card.external_rate_country_Albania
external_rate_city_Lac_Albania,Lac,rate_card.external_rate_country_Albania
external_rate_city_Kukes_Albania,Kukes,rate_card.external_rate_country_Albania
external_rate_city_Sukth_Albania,Sukth,rate_card.external_rate_country_Albania
external_rate_city_Bucimas_Albania,Bucimas,rate_card.external_rate_country_Albania
external_rate_city_Lezhe_Albania,Lezhe,rate_card.external_rate_country_Albania
external_rate_city_Patos_Albania,Patos,rate_card.external_rate_country_Albania
external_rate_city_Peshkopi_Albania,Peshkopi,rate_card.external_rate_country_Albania
external_rate_city_Librazhd-Qender_Albania,Librazhd-Qender,rate_card.external_rate_country_Albania
external_rate_city_Kucove_Albania,Kucove,rate_card.external_rate_country_Albania
external_rate_city_Kruje_Albania,Kruje,rate_card.external_rate_country_Albania
external_rate_city_Burrel_Albania,Burrel,rate_card.external_rate_country_Albania
external_rate_city_Perondi_Albania,Perondi,rate_card.external_rate_country_Albania
external_rate_city_Libonik_Albania,Libonik,rate_card.external_rate_country_Albania
external_rate_city_Rreshen_Albania,Rreshen,rate_card.external_rate_country_Albania
external_rate_city_Belsh_Albania,Belsh,rate_card.external_rate_country_Albania
external_rate_city_Gramsh_Albania,Gramsh,rate_card.external_rate_country_Albania
external_rate_city_Librazhd_Albania,Librazhd,rate_card.external_rate_country_Albania
external_rate_city_Permet_Albania,Permet,rate_card.external_rate_country_Albania
external_rate_city_Bajram_Curri_Albania,Bajram Curri,rate_card.external_rate_country_Albania
external_rate_city_Tepelene_Albania,Tepelene,rate_card.external_rate_country_Albania
external_rate_city_Corovode_Albania,Corovode,rate_card.external_rate_country_Albania
external_rate_city_Erseke_Albania,Erseke,rate_card.external_rate_country_Albania
