id,name,rate_region_id:id
external_rate_country_Afghanistan,Afghanistan,external_id_rate_region_EMEA
external_rate_country_Akrotiri_and_Dhekelia,Akrotiri and Dhekelia,external_id_rate_region_EMEA
external_rate_country_land_Islands,land Islands,external_id_rate_region_EMEA
external_rate_country_Albania,Albania,external_id_rate_region_EMEA
external_rate_country_Algeria,Algeria,external_id_rate_region_EMEA
external_rate_country_American_Samoa,American Samoa,external_id_rate_region_APAC
external_rate_country_Andorra,Andorra,external_id_rate_region_EMEA
external_rate_country_Angola,Angola,external_id_rate_region_EMEA
external_rate_country_Anguilla,Anguilla,external_id_rate_region_LATAM
external_rate_country_Antigua_and_Barbuda,Antigua and Barbuda,external_id_rate_region_LATAM
external_rate_country_Argentina,Argentina,external_id_rate_region_LATAM
external_rate_country_Armenia,Armenia,external_id_rate_region_EMEA
external_rate_country_Aruba,Aruba,external_id_rate_region_LATAM
external_rate_country_Australia,Australia,external_id_rate_region_APAC
external_rate_country_Austria,Austria,external_id_rate_region_EMEA
external_rate_country_Azerbaijan,Azerbaijan,external_id_rate_region_EMEA
external_rate_country_Bahamas,Bahamas,external_id_rate_region_LATAM
external_rate_country_Bahrain,Bahrain,external_id_rate_region_EMEA
external_rate_country_Bangladesh,Bangladesh,external_id_rate_region_APAC
external_rate_country_Barbados,Barbados,external_id_rate_region_LATAM
external_rate_country_Belarus,Belarus,external_id_rate_region_EMEA
external_rate_country_Belgium,Belgium,external_id_rate_region_EMEA
external_rate_country_Belize,Belize,external_id_rate_region_LATAM
external_rate_country_Benin,Benin,external_id_rate_region_EMEA
external_rate_country_Bermuda,Bermuda,external_id_rate_region_LATAM
external_rate_country_Bhutan,Bhutan,external_id_rate_region_APAC
external_rate_country_Bolivia,Bolivia,external_id_rate_region_LATAM
external_rate_country_Bonaire_Sint_Eustatius_and_Saba,Bonaire,external_id_rate_region_LATAM
external_rate_country_Bosnia_and_Herzegovina,Bosnia and Herzegovina,external_id_rate_region_EMEA
external_rate_country_Botswana,Botswana,external_id_rate_region_EMEA
external_rate_country_Brazil,Brazil,external_id_rate_region_LATAM
external_rate_country_British_Indian_Ocean_Territory,British Indian Ocean Territory,external_id_rate_region_EMEA
external_rate_country_British_Virgin_Islands,British Virgin Islands,external_id_rate_region_LATAM
external_rate_country_Brunei,Brunei,external_id_rate_region_APAC
external_rate_country_Bulgaria,Bulgaria,external_id_rate_region_EMEA
external_rate_country_Burkina_Faso,Burkina Faso,external_id_rate_region_EMEA
external_rate_country_Burma,Burma,external_id_rate_region_APAC
external_rate_country_Burundi,Burundi,external_id_rate_region_EMEA
external_rate_country_Cabo_Verde,Cabo Verde,external_id_rate_region_EMEA
external_rate_country_Cambodia,Cambodia,external_id_rate_region_APAC
external_rate_country_Cameroon,Cameroon,external_id_rate_region_EMEA
external_rate_country_Canada,Canada,external_id_rate_region_LATAM
external_rate_country_Cayman_Islands,Cayman Islands,external_id_rate_region_LATAM
external_rate_country_Central_African_Republic,Central African Republic,external_id_rate_region_EMEA
external_rate_country_Chad,Chad,external_id_rate_region_EMEA
external_rate_country_Chile,Chile,external_id_rate_region_LATAM
external_rate_country_China,China,external_id_rate_region_APAC
